name:,sensor
time,GAS
----,---
2021-08-23T16:01:00.552746Z,21
2021-08-23T16:01:00.997034Z,22
2021-08-23T16:01:01.629464Z,21
2021-08-23T16:01:02.047464Z,21
2021-08-23T16:01:02.409869Z,21
2021-08-23T16:01:02.787264Z,21
2021-08-23T16:01:03.16092Z,21
2021-08-23T16:01:03.529284Z,21
2021-08-23T16:01:04.909627Z,21
2021-08-23T16:01:05.238892Z,21
2021-08-23T16:01:05.629606Z,21
2021-08-23T16:01:06.0174Z,20
2021-08-23T16:01:06.388131Z,21
2021-08-23T16:01:06.748666Z,20
2021-08-23T16:01:07.094169Z,20
2021-08-23T16:01:07.441109Z,21
2021-08-23T16:01:07.814282Z,20
2021-08-23T16:01:08.159002Z,20
2021-08-23T16:01:08.50479Z,21
2021-08-23T16:01:08.891424Z,20
2021-08-23T16:01:09.261358Z,20
2021-08-23T16:01:09.59684Z,20
2021-08-23T16:01:09.926049Z,20
2021-08-23T16:01:10.32218Z,22
2021-08-23T16:01:10.717909Z,21
2021-08-23T16:01:11.086304Z,21
2021-08-23T16:01:11.426749Z,21
2021-08-23T16:01:11.830835Z,21
2021-08-23T16:01:12.23568Z,21
2021-08-23T16:01:12.609001Z,21
2021-08-23T16:01:13.028152Z,22
2021-08-23T16:01:13.410287Z,22
2021-08-23T16:01:13.773828Z,22
2021-08-23T16:01:14.113238Z,23
2021-08-23T16:01:14.496534Z,22
2021-08-23T16:01:14.873997Z,22
2021-08-23T16:01:15.213049Z,23
2021-08-23T16:01:15.627867Z,23
2021-08-23T16:01:16.018054Z,22
2021-08-23T16:01:16.393854Z,24
2021-08-23T16:01:16.865901Z,23
2021-08-23T16:01:20.094723Z,22
2021-08-23T16:01:20.694375Z,23
2021-08-23T16:01:21.212166Z,23
2021-08-23T16:01:21.582177Z,24
2021-08-23T16:01:22.237706Z,23
2021-08-23T16:01:23.183414Z,23
2021-08-23T16:01:23.811553Z,23
2021-08-23T16:01:24.288122Z,23
2021-08-23T16:01:24.622716Z,23
2021-08-23T16:01:25.020288Z,23
2021-08-23T16:01:25.388893Z,23
2021-08-23T16:01:25.721905Z,23
2021-08-23T16:01:26.09014Z,23
2021-08-23T16:01:26.43314Z,23
2021-08-23T16:01:26.808321Z,22
2021-08-23T16:01:27.510256Z,22
2021-08-23T16:01:27.883587Z,22
2021-08-23T16:01:28.229674Z,22
2021-08-23T16:01:28.625372Z,22
2021-08-23T16:01:29.01551Z,22
2021-08-23T16:01:29.620815Z,22
2021-08-23T16:01:29.994839Z,22
2021-08-23T16:01:30.582865Z,22
2021-08-23T16:01:30.982954Z,22
2021-08-23T16:01:31.526032Z,22
2021-08-23T16:01:31.99184Z,23
2021-08-23T16:01:32.385268Z,22
2021-08-23T16:01:35.92925Z,22
2021-08-23T16:01:36.351102Z,22
2021-08-23T16:01:36.704608Z,23
2021-08-23T16:01:37.090598Z,22
2021-08-23T16:01:37.430205Z,22
2021-08-23T16:01:37.770642Z,22
2021-08-23T16:01:38.137206Z,22
2021-08-23T16:01:38.493328Z,22
2021-08-23T16:01:38.845286Z,22
2021-08-23T16:01:39.21826Z,22
2021-08-23T16:01:39.57197Z,22
2021-08-23T16:01:39.910994Z,22
2021-08-23T16:01:40.315016Z,22
2021-08-23T16:01:40.681593Z,22
2021-08-23T16:01:41.039811Z,22
2021-08-23T16:01:41.514345Z,22
2021-08-23T16:01:41.89272Z,22
2021-08-23T16:01:42.247152Z,22
2021-08-23T16:01:42.627181Z,22
2021-08-23T16:01:43.026328Z,22
2021-08-23T16:01:43.441977Z,22
2021-08-23T16:01:43.81689Z,22
2021-08-23T16:01:44.170437Z,22
2021-08-23T16:01:44.544096Z,22
2021-08-23T16:01:44.901299Z,22
2021-08-23T16:01:45.268503Z,22
2021-08-23T16:01:45.622905Z,21
2021-08-23T16:01:45.992653Z,21
2021-08-23T16:01:46.348124Z,21
2021-08-23T16:01:46.743014Z,21
2021-08-23T16:01:47.098219Z,21
2021-08-23T16:01:47.482053Z,21
2021-08-23T16:01:47.835206Z,21
2021-08-23T16:01:48.221802Z,21
2021-08-23T16:01:48.626675Z,21
2021-08-23T16:01:49.591704Z,21
2021-08-23T16:01:49.946665Z,22
2021-08-23T16:01:50.283538Z,22
2021-08-23T16:01:50.638528Z,22
2021-08-23T16:01:51.021804Z,22
2021-08-23T16:01:52.214817Z,22
2021-08-23T16:01:52.609163Z,23
2021-08-23T16:01:52.987557Z,22
2021-08-23T16:01:53.33179Z,22
2021-08-23T16:01:54.739065Z,22
2021-08-23T16:01:55.075993Z,22
2021-08-23T16:01:55.423118Z,22
2021-08-23T16:01:56.10902Z,22
2021-08-23T16:01:56.488762Z,22
2021-08-23T16:01:56.829852Z,22
2021-08-23T16:01:57.170841Z,22
2021-08-23T16:01:57.525758Z,23
2021-08-23T16:01:57.888512Z,22
2021-08-23T16:01:58.227304Z,22
2021-08-23T16:01:59.590765Z,22
2021-08-23T16:01:59.935491Z,22
2021-08-23T16:02:00.297701Z,22
2021-08-23T16:02:00.706175Z,21
2021-08-23T16:02:01.069649Z,21
2021-08-23T16:02:01.432656Z,22
2021-08-23T16:02:02.831694Z,22
2021-08-23T16:02:03.201688Z,22
2021-08-23T16:02:05.464434Z,22
2021-08-23T16:02:05.795112Z,21
2021-08-23T16:02:06.127984Z,21
2021-08-23T16:02:06.472626Z,21
2021-08-23T16:02:07.079901Z,21
2021-08-23T16:02:07.429072Z,22
2021-08-23T16:02:07.818875Z,21
2021-08-23T16:02:08.162242Z,21
2021-08-23T16:02:08.505636Z,21
2021-08-23T16:02:08.845688Z,22
2021-08-23T16:02:09.25532Z,21
2021-08-23T16:02:09.586672Z,21
2021-08-23T16:02:09.923082Z,21
2021-08-23T16:02:11.607181Z,21
2021-08-23T16:02:11.944992Z,21
2021-08-23T16:02:12.317131Z,22
2021-08-23T16:02:12.700216Z,21
2021-08-23T16:02:13.036125Z,21
2021-08-23T16:02:14.432897Z,21
2021-08-23T16:02:14.777708Z,21
2021-08-23T16:02:15.118404Z,21
2021-08-23T16:02:15.481573Z,21
2021-08-23T16:02:15.818974Z,21
2021-08-23T16:02:16.392172Z,21
2021-08-23T16:02:16.737244Z,22
2021-08-23T16:02:17.423281Z,22
2021-08-23T16:02:19.13597Z,21
2021-08-23T16:02:19.538696Z,21
2021-08-23T16:02:19.927307Z,22
2021-08-23T16:02:20.284578Z,21
2021-08-23T16:02:20.694002Z,21
2021-08-23T16:02:21.34947Z,21
2021-08-23T16:02:21.74875Z,21
2021-08-23T16:02:22.094256Z,22
2021-08-23T16:02:22.713995Z,22
2021-08-23T16:02:23.302706Z,22
2021-08-23T16:02:23.680321Z,22
2021-08-23T16:02:24.024528Z,22
2021-08-23T16:02:24.406214Z,22
2021-08-23T16:02:24.991129Z,22
2021-08-23T16:02:25.329545Z,22
2021-08-23T16:02:26.151988Z,22
2021-08-23T16:02:26.530042Z,22
2021-08-23T16:02:26.903881Z,23
2021-08-23T16:02:27.257775Z,22
2021-08-23T16:02:27.911401Z,23
2021-08-23T16:02:28.323287Z,21
2021-08-23T16:02:28.695178Z,21
2021-08-23T16:02:29.047481Z,21
2021-08-23T16:02:30.444787Z,22
2021-08-23T16:02:30.860597Z,22
2021-08-23T16:02:31.495337Z,23
2021-08-23T16:02:31.862558Z,23
2021-08-23T16:02:32.838605Z,23
2021-08-23T16:02:34.315525Z,22
2021-08-23T16:02:34.710038Z,22
2021-08-23T16:02:35.095984Z,23
2021-08-23T16:02:35.488929Z,22
2021-08-23T16:02:35.821809Z,22
2021-08-23T16:02:36.185187Z,23
2021-08-23T16:02:36.549931Z,22
2021-08-23T16:02:36.926382Z,22
2021-08-23T16:02:37.31485Z,22
2021-08-23T16:02:37.668228Z,21
2021-08-23T16:02:38.023215Z,23
2021-08-23T16:02:38.386489Z,22
2021-08-23T16:02:38.729718Z,22
2021-08-23T16:02:39.440301Z,23
2021-08-23T16:02:39.877284Z,22
2021-08-23T16:02:40.22039Z,21
2021-08-23T16:02:40.592097Z,23
2021-08-23T16:02:40.948416Z,22
2021-08-23T16:02:42.493607Z,23
2021-08-23T16:02:42.857764Z,22
2021-08-23T16:02:43.219561Z,22
2021-08-23T16:02:43.621228Z,23
2021-08-23T16:02:44.033695Z,21
2021-08-23T16:02:44.416202Z,21
2021-08-23T16:02:45.814704Z,21
2021-08-23T16:02:47.452938Z,22
2021-08-23T16:02:47.815344Z,22
2021-08-23T16:02:48.164657Z,23
2021-08-23T16:02:48.530167Z,22
2021-08-23T16:02:48.972152Z,21
2021-08-23T16:02:49.326981Z,21
2021-08-23T16:02:49.676805Z,21
2021-08-23T16:02:50.030596Z,22
2021-08-23T16:02:50.394136Z,21
2021-08-23T16:02:50.797063Z,21
2021-08-23T16:02:51.14102Z,21
2021-08-23T16:02:51.493859Z,21
2021-08-23T16:02:51.846294Z,21
2021-08-23T16:02:52.230331Z,22
2021-08-23T16:02:52.614055Z,21
2021-08-23T16:02:52.961373Z,21
2021-08-23T16:02:53.305515Z,21
2021-08-23T16:02:53.65072Z,21
2021-08-23T16:02:54.018472Z,22
2021-08-23T16:02:54.40307Z,21
2021-08-23T16:02:54.753498Z,21
2021-08-23T16:02:55.126465Z,21
2021-08-23T16:02:55.516081Z,21
2021-08-23T16:02:55.880272Z,22
2021-08-23T16:02:56.260177Z,21
2021-08-23T16:02:56.633662Z,21
2021-08-23T16:02:57.019136Z,21
2021-08-23T16:02:57.403297Z,21
2021-08-23T16:02:57.745686Z,21
2021-08-23T16:02:58.098381Z,21
2021-08-23T16:02:58.445673Z,21
2021-08-23T16:02:58.809732Z,21
2021-08-23T16:02:59.425629Z,21
2021-08-23T16:02:59.823829Z,22
2021-08-23T16:03:00.2322Z,21
2021-08-23T16:03:01.65529Z,21
2021-08-23T16:03:02.452875Z,22
2021-08-23T16:03:02.820519Z,22
2021-08-23T16:03:03.416841Z,22
2021-08-23T16:03:04.840458Z,22
2021-08-23T16:03:06.278366Z,21
2021-08-23T16:03:06.639794Z,21
2021-08-23T16:03:08.043727Z,21
2021-08-23T16:03:08.384191Z,22
2021-08-23T16:03:08.753508Z,22
2021-08-23T16:03:09.171358Z,22
2021-08-23T16:03:09.543082Z,22
2021-08-23T16:03:09.932403Z,22
2021-08-23T16:03:11.316515Z,21
2021-08-23T16:03:11.719376Z,21
2021-08-23T16:03:12.328645Z,21
2021-08-23T16:03:12.75799Z,21
2021-08-23T16:03:13.166242Z,21
2021-08-23T16:03:13.784299Z,21
2021-08-23T16:03:14.319167Z,21
2021-08-23T16:03:15.73059Z,21
2021-08-23T16:03:16.112147Z,21
2021-08-23T16:03:16.520911Z,22
2021-08-23T16:03:17.441548Z,22
2021-08-23T16:03:17.806014Z,21
2021-08-23T16:03:18.189286Z,21
2021-08-23T16:03:18.606711Z,22
2021-08-23T16:03:18.97478Z,21
2021-08-23T16:03:19.435005Z,21
2021-08-23T16:03:19.801567Z,21
2021-08-23T16:03:20.165308Z,22
2021-08-23T16:03:20.557999Z,22
2021-08-23T16:03:20.947404Z,23
